recipe,ingredients
Baked Chicken and Potatoes,"['chicken_breast', 'potato', 'onion']"
Spinach and Goat Cheese Frittata,"['egg', 'spinach', 'goat_cheese']"
Strawberry and Chocolate Crepes,"['flour', 'milk', 'egg', 'strawberry', 'chocolate', 'butter']"
Classic Hamburger,"['ground_beef', 'bread', 'tomato', 'cheese', 'onion']"
Mushroom and Potato Soup,"['mushroom', 'potato', 'onion', 'heavy_cream']"
Lime Shrimp,"['shrimp', 'butter', 'lime']"
Banana Bread,"['banana', 'flour', 'sugar', 'egg', 'butter']"
Mashed Sweet Potatoes,"['sweet_potato', 'milk', 'butter']"
Ham and Cheese Toast,"['bread', 'ham', 'cheese', 'butter']"
Spinach and Strawberry Salad,"['spinach', 'strawberry', 'goat_cheese']"
Meatballs,"['ground_beef', 'bread', 'egg', 'cheese']"
Apple Pie,"['apple', 'flour', 'sugar', 'butter', 'egg']"
Chicken with Mushrooms and Cream,"['chicken_breast', 'mushroom', 'heavy_cream', 'butter']"
Green Beans with Ham,"['green_bean', 'ham', 'onion']"
Blueberry Pancakes,"['flour', 'milk', 'egg', 'blueberry', 'sugar', 'butter']"
Mushroom and Cheese Omelette,"['egg', 'mushroom', 'cheese', 'butter']"
Chocolate Banana Muffins,"['banana', 'flour', 'chocolate', 'egg', 'sugar', 'butter']"
Beef Stew with Carrots and Potatoes,"['beef', 'carrot', 'potato', 'onion']"
Shrimp and Spinach,"['shrimp', 'spinach', 'butter']"
Chocolate Tart,"['flour', 'butter', 'sugar', 'chocolate', 'egg']"
Carrot and Sweet Potato Soup,"['carrot', 'sweet_potato', 'onion', 'heavy_cream']"
Spinach Stuffed Chicken,"['chicken_breast', 'spinach', 'cheese']"
Corn and Tomato Salad,"['corn', 'tomato', 'onion', 'lime']"
Steak and Potatoes,"['beef', 'potato', 'butter']"
Tomato Bruschetta,"['bread', 'tomato', 'onion']"
Chicken and Corn Soup,"['corn', 'chicken', 'onion', 'milk']"
Apple Blueberry Crumble,"['apple', 'blueberry', 'flour', 'butter']"
